ID	Source	Source_Number	Direction	Target	Target_Number	Realizations	Examples
shift6622	light, bright, clear	212	→	saint	3922	1	1
shift2642	finger/toe	1285	→	spoke of wheel	4214	3	3
shift1122	near	1835	→	close (of relations)	1002	11	11
shift0681	hoar-frost	1633	—	dew	4424	3	3
shift4103	page	283	—	website	36	4	4
shift7041	poison	422	→	hemlock (plant)	1605	1	1
shift5281	daughter-in-law	4389	—	sister-in-law	4093	2	2
shift1824	to dig	2519	→	hoof	1650	2	2
shift6737	to know	2826	—	to respect	3075	1	1
shift6055	to throw	3296	→	to hurt	2777	1	1
shift1769	tail	2113	→	behind	3566	2	2
shift4586	<foreigner>	1210	→	guava	853	2	2
shift0487	mouth	735	↔	eater	3805	14	14
shift2643	<animal>	1916	→	coward	1123	16	16
shift3538	to begin (tr.)	2332	→	to check, test	2424	1	1
shift1713	snake	4136	→	eel (Anguilla anguilla)	3811	5	5
shift5477	threshold	2185	—	windowsill	90	1	1
shift8459	partridge	308	—	willow ptarmigan	86	10	10
shift0006	to think	3293	→	to recall, recollect	3045	11	11
shift2271	air, atmosphere	1962	→	ambience, vibe	1985	10	10
shift5907	to live, be alive	2855	→	property, possessions	478	4	4
shift3529	knee	1718	→	strong	4304	1	1
shift0746	to see/to look at	3121	→	to understand	3331	23	23
shift7208	to pick, pull up (a plant)	2974	→	to subtract	3241	1	1
shift0597	wood, timber	114	→	substance	4317	3	3
shift4321	direction	4438	—	meaning, sense	615	1	1
shift6469	cat	905	→	mole cricket (Gryllotalpa)	695	1	1
shift6700	to incline	2785	→	inclination to smth	1759	2	2
shift4796	to go down	2704	—	to give birth	2693	2	2
shift8628	worm	123	→	cancer (disease)	884	1	1
shift2268	clean (adj.)	998	→	beautiful	3545	2	2
shift8470	flat cake	1313	→	afterbirth, placenta	1953	9	9
shift4681	grandfather	826	→	dragonfly	4476	1	1
shift6356	abies (Abies)	1920	→	hazel grouse (Tetrastes bonasia)	1575	1	1
shift7760	nail (metal spike)	1817	→	measure of weight	620	1	1
shift6715	to burn (intr.)	2384	→	to be ashamed	2257	1	1
shift3553	liver	236	—	belly	3572	3	3
shift4618	sooner	4168	→	rather (preference)	1432	2	2
shift5674	room	1496	→	cell (of honeycomb)	926	3	3
shift8284	tobacco	3391	→	Thursday	2191	1	1
shift7164	to flap, wave	2633	→	to look around	2862	1	1
shift1490	to defend	2503	—	to pasture, shepherd	2962	9	9
shift1996	dry	4491	→	bad	3493	1	1
shift5132	brother	3700	→	term of address to a man	2154	1	1
shift6528	magpie (Pica pica)	567	—	woodpecker	118	1	1
shift4219	to follow, go after smb.	2649	→	to care for, look after	2399	4	4
shift2017	to see/to look at	3121	→	to find	2627	9	9
shift4406	big	3588	→	difficult	4433	1	1
shift1215	mobile	686	→	mercury	640	2	2
shift7805	dock-tailed, tailless	4455	→	childless	962	1	1
shift2719	to bury	2388	→	to destroy, annihilate	2514	1	1
shift5774	forest	1351	→	wild, untamed	82	2	2
shift5842	moon	708	→	time	2200	1	1
shift4718	root (of a plant)	1499	→	root (arithmetic)	1498	35	35
shift5432	to walk, wander	3350	→	Samsara	3933	1	1
shift7967	tile	2198	→	diamonds (in cards)	4429	1	1
shift8367	egg	3813	→	dandelion	4378	1	1
shift1775	to repeat	3071	→	to tell	3289	2	2
shift6647	naked, bare	1819	→	unforested, treeless place	521	1	1
shift2999	apple	2018	→	city block	987	1	1
shift4663	to want	3353	→	any	2012	1	1
shift3650	to chew	2425	→	to ignore	2779	1	1
shift6010	frog	1384	→	on all fours	4540	1	1
shift0140	to take prisoner	3277	→	to charm, to delight	2421	7	7
shift4560	throat	2186	→	eater	3805	1	1
shift8453	whip	57	→	flagellum	1309	26	26
shift4565	tube, pipe	3455	→	trumpet	3450	6	6
shift3119	<profession>	280	→	grasshopper (Tettigonioidea)	835	1	1
shift7407	spine, backbone	4205	—	spindle	4203	1	1
shift7906	clothes	1005	↔	dress (feminine)	4480	6	6
shift6198	rainbow	1421	→	Xenopeltis unicolor	554	6	6
shift1845	tongue (body part)	3400	→	gulf	861	2	2
shift0416	place	392	—	town	3418	2	2
shift4911	to pasture, shepherd	2962	→	to guard	2731	2	2
shift6712	lattice, grid	165	→	side of a coin	4072	2	2
shift4936	egg	3813	→	kidney	1708	1	1
shift3671	guest	855	→	menstruation	636	3	3
shift3622	to begin (tr.)	2332	—	to teach	3285	1	1
shift0818	to check, test	2424	—	to taste (tr.)	3283	2	2
shift1747	lip	224	→	word	120	4	4
shift0733	curved	1167	—	wrong	127	21	21
shift1998	smooth	4132	—	beautiful	3545	2	2
shift3258	cowrie	1124	→	money	700	10	10
shift4907	yard, courtyard	2075	→	diaphragm	4430	1	1
shift2147	bird Nectarinia gutturalis	3597	→	drunkard	4489	1	1
shift6413	to eat	2569	→	to defeat, win	2501	1	1
shift7669	hare (Lepus)	1562	→	lily-of-the-valley (Convallaria majalis)	216	1	1
shift3150	to fall down	2605	→	to suit (of clothes)	3248	4	4
shift6426	to fly	2642	→	to pass (of time)	2960	1	1
shift5377	cone (fruit)	1079	→	crossbill (Loxia)	1143	3	3
shift0904	air	1961	—	wind	88	23	23
shift0997	to throw	3296	→	to run	3101	6	6
shift2818	belly	3572	→	middle	652	3	3
shift5168	child (son or daughter)	958	—	baby	3483	2	2
shift3285	boss	3651	—	Englishman	3842	1	1
shift2712	bald	3504	—	hummel, hornless	1684	4	4
shift7790	to lie (posture)	2848	→	sick, ill	4069	1	1
shift6519	horse	1661	→	hippopotamus	1630	27	27
shift7411	metal	643	—	glass (material)	791	3	3
shift6520	elephant	3827	→	hippopotamus	1630	1	1
shift3011	nest (n.)	1846	—	cradle	1126	1	1
shift5586	gold	807	→	bear (Ursus)	3539	1	1
shift2158	dew	4424	→	sundew (Drosera)	4336	4	4
shift4238	younger brother	2095	→	term of address to a man	2154	7	7
shift3803	bull	3715	—	Boletus edulis	3644	1	1
shift0403	goal frame (sport)	802	↔	goal (sport result)	801	4	4
shift6567	glue	797	—	resin, tar	1460	1	1
shift0701	paper	297	→	document (n.)	4457	14	14
shift7581	to help, aid	2761	→	to cast a spell	2404	1	1
shift5696	<capricorn beetle>	863	→	kite (lightweight toy)	1717	1	1
shift0316	to find	2627	→	to learn, find out	2836	1	1
shift1076	to check, test	2424	→	to feel (an emotion)	2613	2	2
shift2522	resin, tar	1460	→	hell	1601	2	2
shift3452	naked, bare	1819	→	insolent	1788	1	1
shift4146	red	1444	→	copper	1093	2	2
shift1609	guest	855	—	friend	1380	1	1
shift1364	wrist	126	—	ankle	2002	1	1
shift6545	mask	602	→	caul, amniotic sac	915	1	1
shift7808	wormwood	124	—	naphthalene	1824	1	1
shift5635	hen	1607	→	ladybird	145	3	3
shift1736	to smell bad	3177	—	bad	3493	2	2
shift4411	lotus	258	—	jewel, precious stone	1187	2	2
shift0970	to strain	3231	→	to understand	3331	1	1
shift1848	to stand	3211	→	servant	3997	1	1
shift7618	comb (of a bird)	1041	→	eaves	3806	1	1
shift3398	wind	88	→	soul	4172	2	2
shift5558	wild, untamed	82	→	very	3761	10	10
shift1811	heel (of a foot)	1596	→	to result in	3079	1	1
shift8301	foam	1331	→	beer	3559	1	1
shift7977	peanut	327	→	clubs (in cards)	1015	1	1
shift0050	genuine, true	778	—	honest	1640	1	1
shift0937	left	183	→	wrong	127	4	4
shift7610	Pisces	388	→	March	589	2	2
shift1383	market	593	→	noise	1872	2	2
shift5065	grandmother	827	→	old woman	4536	7	7
shift2394	to kill	2820	—	to fight (war)	2624	1	1
shift2010	awake	2065	—	attentive	2052	11	11
shift5018	woman	109	—	daughter	4387	3	3
shift2207	to mix, stir	2920	→	to waste	3357	1	1
shift0295	to flow	2639	→	meteor shower	646	2	2
shift3393	precipice, abyss	453	→	hell	1601	3	3
shift1739	head	1578	→	kind (n.)	1710	1	1
shift8463	hen	1607	—	bird	3594	2	2
shift3303	lead, plumbum	173	→	pencil	341	16	16
shift2389	arrow	2033	→	lightning	215	2	2
shift3918	to deceive	2494	—	to cost	2466	1	1
shift2078	to cut	2484	→	to cut off relationships	2485	3	3
shift7449	to let someone get ahead	2845	→	dear, darling	4397	1	1
shift3782	Russian	1526	→	Boletus edulis	3644	2	2
shift3676	transparent	3427	→	comprehensible	1074	10	10
shift6548	straight	4292	→	fat (adj.)(of a person)	1239	1	1
shift1980	ship, vessel	4039	→	to sail	3107	5	5
shift0451	eye	3890	→	window	89	11	11
shift4608	skin (of an animal)	4101	—	volume (of books)	3780	1	1
shift1243	turbid	3463	→	to feel sick	2620	2	2
shift4208	yard, courtyard	2075	→	court (of a sovereign)	1114	5	5
shift6670	stem (of a plant)	4254	—	torso	3413	1	1
shift1878	camel	878	→	glutton	798	1	1
shift1229	ready	1439	→	enough	3843	5	5
shift7941	faeces	1215	→	<berry>	3476	1	1
shift1866	moon	708	→	menstruation	636	25	25
shift0554	cunning, sly	1158	↔	devil, satan	4422	6	6
shift3944	to meet	2909	—	to be appropriate (for)	2256	2	2
shift0259	to crawl	2473	→	snake	4136	9	9
shift5700	soured milk	4178	→	cloud	1007	1	1
shift6990	vegetable marrow	3750	→	bald	3504	2	2
shift6829	colour	1038	—	spot, stain	4220	1	1
shift2330	spark	4184	→	firefly	1292	1	1
shift2546	low (location)	263	→	miserable, unhappy	680	2	2
shift5104	tender (adj.)	2146	—	husband	1694	1	1
shift4273	reed	1447	→	penis	343	1	1
shift0561	hand/arm	1550	—	handful	1551	16	16
shift8179	noble	1870	→	good (ethically)	816	2	2
shift1635	belly	3572	→	pregnant	456	9	9
shift4784	knot	1723	—	hump (of a person or camel)	1687	2	2
shift3750	straight	4292	—	immediately	1743	1	1
shift7336	sun	4333	—	summer	4330	1	1
shift5479	to drink	2557	→	to drink alcohol	2558	11	11
shift7403	stone (piece of rock)	4281	→	money	700	3	3
shift6140	cow	1122	→	chanterelle	942	1	1
shift1199	to boil (intr.)	2361	→	spring, fountain	4226	4	4
shift7685	to ski	3162	—	to crawl	2473	1	1
shift3776	to see/to look at	3121	—	to shine	3144	1	1
shift0550	heavy (of weight)	1594	→	stuffy, close	4310	8	8
shift5910	to undress (tr.)	3333	→	to skin, flay	3163	2	2
shift8564	winter solstice	95	→	December	4401	2	2
shift0028	to get, obtain	2691	→	to receive visitors	3046	5	5
shift5574	common chub	1052	—	ide (fish)	1734	1	1
shift4450	farmer	1235	→	pawn (in chess)	320	7	7
shift7850	red	1444	→	Mars	597	4	4
shift0735	to rotate (tr.)	3097	—	to castrate, geld	2406	3	3
shift3154	<foreigner>	1210	→	rooster	1497	3	3
shift3629	foot/leg	1340	—	handle, gripe	1552	1	1
shift5097	green	845	→	child (son or daughter)	958	1	1
shift7220	boy	3666	↔	child	957	34	34
shift0008	to know	2826	→	to know how	2827	18	18
shift5809	tail	2113	→	coccyx, tailbone	1022	2	2
shift8279	liver	236	→	patience	317	2	2
shift5076	daughter	4387	—	princess	466	1	1
shift0675	price	459	—	mark, grade (at school)	592	2	2
shift6494	otter (Lutra lutra)	4569	—	polecat, ferret (Mustela putorius)	429	1	1
shift2026	muddy, turbid (of water)	740	→	to be confused	2263	2	2
shift5921	heart	1588	→	Saint-John's-wort (Hypericum)	3926	1	1
shift4074	next	1860	→	second (num.)	3979	2	2
shift7788	heel (of a foot)	1596	→	butt of the rifle	3732	1	1
shift5013	with exception of	102	→	in addition to	1752	3	3
shift0384	to see/to look at	3121	→	to care for, look after	2399	42	42
shift7738	light, bright, clear	212	→	famous	1227	1	1
shift7007	tin (n.)	2202	→	to scold	3114	1	1
shift5345	iron	1806	—	money	700	17	17
shift7942	to find	2627	→	to become infected	2319	1	1
shift8271	liver	236	→	dear, darling	4397	12	12
shift6334	work (n.)	121	→	smallpox	4126	1	1
shift0294	to flow	2639	→	to crawl	2473	2	2
shift1129	coal	1018	→	smut (plant disease)	4134	8	8
shift3242	neck	1837	→	neck (of bottle etc.)	1839	11	11
shift7086	to move down (tr.)	2928	→	to defeat, win	2501	2	2
shift0054	wind	88	→	window	89	7	7
shift6989	vegetable marrow	3750	→	fool	1336	1	1
shift2746	to tie	3302	→	to begin (tr.)	2332	6	6
shift8074	to melt, to thaw	2912	→	to become tender (as of feelings, heart)	2324	3	3
shift8324	belly	3572	—	abdomen	1918	17	17
shift0153	tree	3432	→	Thursday	2191	1	1
shift1473	to grasp, seize	2717	→	to begin (tr.)	2332	7	7
shift1654	to turn back to look at smth.	3320	—	to sympathize	3266	1	1
shift7937	fire	1286	—	fire (accident)	1287	7	7
shift2688	noise	1872	→	pig (Sus scrofa)	369	1	1
shift0817	taste (n.)	2132	→	aesthetic perception	1951	9	9
shift1053	black cloud	3611	—	hail	1540	2	2
shift1699	black	3610	→	illegal	1739	12	12
shift8242	mouth	735	→	language	154	3	3
shift2140	dry	4491	—	taciturn	2109	0	0
shift8030	to go, walk	2715	→	to function	2662	1	1
shift3075	light (n.)	210	—	sun	4333	1	1
shift3670	to be born	2259	—	to grow (plants)	2723	4	4
shift4597	to love	2874	→	forget-me-not (flower)	1352	1	1
shift3489	to find	2627	→	to exist	2590	2	2
shift4583	doll	4460	→	larva	160	1	1
shift8306	<berry>	3476	→	August	2054	2	2
shift1342	feather	1250	→	fin	1281	4	4
shift8262	big	3588	→	husband	1694	1	1
shift5276	ice	1730	→	window	89	1	1
shift3007	mud	739	→	penis	343	1	1
shift4119	ochre	4520	→	yellow	2079	1	1
shift7423	sky	4106	—	rain	1420	1	1
shift7961	echo	3807	—	evil spirit	3877	1	1
shift1156	people, nation	345	—	army	2030	6	6
shift3430	rye	1532	—	wheat	53	3	3
shift0989	to push	3024	—	to hint	2766	1	1
shift3300	heart	1588	↔	bowels, intestine	3664	6	6
shift6765	to go, walk	2715	—	to be in use	2282	1	1
shift7803	cast iron	902	→	pot	444	4	4
shift4352	to feel pity	2617	→	to spare, to economize	3191	3	3
shift5749	to go down	2704	→	to go downstream	2705	3	3
shift6774	again	1955	—	but, however	3729	1	1
shift6122	second (num.)	3979	→	Monday	698	3	3
shift5116	to give birth	2693	→	daughter	4387	1	1
shift5594	reindeer	1451	—	moose	709	2	2
shift0890	bone	3645	→	kinship	1715	4	4
shift3307	snake	4136	→	loach (fish, Misgurnus)	238	2	2
shift0315	to spoil (tr.)	3198	→	to deflorate	2504	3	3
shift2938	hand/arm	1550	→	to help, aid	2761	2	2
shift3280	algae	1968	→	many, much	584	1	1
shift2903	meat	621	—	pig (Sus scrofa)	369	8	8
shift3716	to go up	2713	—	to improve (intr.), become better	2784	4	4
shift1659	Russian	1526	→	bedbug (Cimex lectularius)	3552	1	1
shift8201	to dip	2523	→	to dye	2566	1	1
shift5094	son	4163	↔	courage	1113	3	3
shift6197	sunbeam	4334	→	Xenopeltis unicolor	554	4	4
shift3090	swamp	4354	→	forest	1351	1	1
shift1680	full	1396	→	fat (adj.)(of a person)	1239	3	3
shift8472	sibling	4067	↔	afterbirth, placenta	1953	3	3
shift5630	ladybird	145	→	firebug, Pyrrhocoris apterus	1291	1	1
shift5725	silver	4081	—	copper	1093	4	4
shift2853	big	3588	→	main	568	3	3
shift0762	to taste (tr.)	3283	→	to feel (an emotion)	2613	10	10
shift8427	to squeeze	3206	→	to diminish	2522	1	1
shift6184	bear (Ursus)	3539	→	wolverine	108	2	2
shift7106	plate (a serving dish)	404	→	tray	3431	1	1
shift3626	to sit	3160	—	to remain, stay	3062	2	2
shift7625	sound	4173	—	noise	1872	2	2
shift1170	bearded man	3542	→	man (male)	574	1	1
shift3593	to precede	2997	→	to go forward, advance	2706	2	2
shift1295	flat (adj)	1312	—	straight	4292	6	6
shift7318	to move	2925	—	to dislocate (of a joint)	2533	1	1
shift7228	to flow into	2640	→	to become a member of	2313	1	1
shift0174	to braid, plait, weave	2364	→	to copulate	2462	1	1
shift0809	wine	91	→	<colour>	866	2	2
shift5012	place	392	→	instead of	1790	16	16
shift2393	to strike, hit	3234	→	to fight (war)	2624	10	10
shift0061	straight	4292	→	correct (adj.)	1105	21	21
shift0372	sleeve	4113	→	branch (of a river)	3671	3	3
shift2532	to break (tr.)	2370	→	to divide into several parts	2541	4	4
shift2653	pain	284	—	to feel hunger	2616	1	1
shift8488	to buzz	2391	→	crowd (of people)	1148	1	1
shift2471	to wait	3347	→	ambush	1986	2	2
shift7616	oat	4512	—	cereal	933	1	1
shift0161	near	1835	→	cheap	947	1	1
shift0530	rib	1473	→	mountain ridge, edge	731	1	1
shift8098	wing	92	—	fern	1262	1	1
shift5284	to establish, found	2586	→	mother	720	1	1
shift0408	to ache	2214	—	it's a pity	1810	2	2
shift5406	to cut	2484	→	to touch	3307	1	1
shift3934	clean (adj.)	998	—	pure	496	9	9
shift6759	stranger, foreign	4296	→	miserable, unhappy	680	1	1
shift3202	bitter	3607	→	dandelion	4378	3	3
shift4651	sated with food	3939	→	to be fed up with	2271	3	3
shift6530	common reed	1060	→	club-rush (Scirpus)	1014	2	2
shift2346	stone (of a fruit)	4280	→	secret (n)	3982	1	1
shift6719	to lose	2865	→	to waste	3357	1	1
shift6346	two	3472	→	pregnant	456	1	1
shift0947	acorn	1936	—	date (Phoenix dactylifera)	4386	2	2
shift5606	horse	1661	→	mantis	582	5	5
shift0163	to return (tr.)	3081	→	to answer	2228	11	11
shift5547	to struggle	3235	→	ruff (bird)	1519	6	6
shift3465	corpse	1103	→	to grow numb	2725	1	1
shift5821	mill (n.)	660	→	molar (tooth)	692	2	2
shift1720	hot	1673	—	quick	1908	8	8
shift5766	cloud	1007	—	dust	4503	3	3
shift2816	bald	3504	—	skull	4104	1	1
shift1801	eyelash	3898	→	edge, border	3810	2	2
shift1347	to fall asleep	2604	→	to grow numb	2725	11	11
shift2710	yellow	2079	—	honey	1642	1	1
shift1334	<animal>	1916	→	bastard	3528	4	4
shift0662	sign, designation	4076	→	betrothal, engagement	3586	1	1
shift0617	sky	4106	—	palate	290	6	6
shift1062	dog	4458	→	whore	67	7	7
shift7284	breast	3681	→	wet-nurse	50	1	1
shift6654	to tie	3302	→	to block	2353	1	1
shift8185	cannabis	886	→	willowherb	87	3	3
shift2095	sharp	4022	→	soldier (plan, Stratiotes)	4155	1	1
shift1111	smooth	4132	→	bald	3504	3	3
shift8250	to sleep	3169	→	husband / wife	1695	1	1
shift8512	bull	3715	→	November	1888	1	1
shift0212	to walk, wander	3350	→	to visit	3345	1	1
shift5044	grandfather	826	→	term of address to a man	2154	11	11
shift3831	insane	1784	→	fly agaric (Amanita muscaria)	1328	2	2
shift3403	sharp	4022	→	strong (of liquid or smell)	4305	3	3
shift1094	to speak	3193	—	rumour	1522	2	2
shift2767	to pull up (a plant)	3017	→	to destroy, annihilate	2514	3	3
shift2794	palm (body part)	292	→	destiny	4419	1	1
shift2831	to lose	2865	→	to forget	2653	1	1
shift7806	thin (of an object)	2172	—	liquid (adj.)	226	1	1
shift0154	metal	643	→	Friday	1378	1	1
shift0864	bad	3493	↔	good	814	6	6
shift5545	corn crake	1098	—	ruff (bird)	1519	1	1
shift6206	nut, hazel	1898	→	Anguis fragilis	1998	1	1
shift4174	comb	1040	—	fascicle (cluster of flowers or berries)	1236	8	8
shift5767	smoke	4130	—	perfume, scent	351	1	1
shift5894	curved	1167	→	cunning person	1157	1	1
shift8585	daughter	4387	—	female ascetic	1254	1	1
shift1547	comb	1040	→	charger, cartridge clip	944	1	1
shift4958	passionate, zealous	314	→	jealous	1180	6	6
shift1114	to put into	3026	→	to bribe	2375	5	5
shift8296	spleen (anat.)	4210	—	leech	180	3	3
shift5989	to overpass the mountain passage	2955	→	impudent	1750	1	1
shift0520	neck	1837	→	mountain pass	730	6	6
shift7321	rainbow smelt	1422	→	April	2021	1	1
shift0282	to pull, to draw	3018	→	to hinder	2765	1	1
shift2444	rowan	1513	—	henbane	1608	1	1
shift1566	to sow	3190	→	to lose	2865	3	3
shift0686	early	3795	—	shortly	4051	7	7
shift6066	khash	1707	→	sourdough	4177	2	2
shift5301	ship, vessel	4039	→	automobile	2062	1	1
shift6429	to bite	2347	—	to peck (of a bird)	2966	1	1
shift6663	skin (of a person)	4100	—	pellicle, membrane	338	2	2
shift8264	grandfather	826	—	husband	1694	1	1
shift5722	mosquito, gnat	717	→	July	1198	1	1
shift4131	stupid	4312	—	insane	1784	27	27
shift0791	dry	4491	→	obstinate	4518	2	2
shift6640	catapult	908	→	slingshot	4116	4	4
shift4215	to watch, look after	3358	—	to search, look for	3120	1	1
shift4471	spruce (Picea)	4228	→	larch	158	0	0
shift5794	pearl	329	—	cataract (of the eye)	909	2	2
shift5113	field	1271	→	wife	73	1	1
shift0358	weak	28	→	rare	1428	2	2
shift6034	claw	995	—	claw (of a crustacean)	996	1	1
shift1595	key (of a door)	1705	—	screw, screw-bolt	3967	1	1
shift7245	to make a bonfire	2877	→	to arrange a banquet	2236	1	1
shift1082	servant	3997	→	jack (playing card)	1171	7	7
shift3522	to move quickly	2930	→	to become ready (of food)	2321	1	1
shift2028	equal	3850	—	straight	4292	5	5
shift1282	to turn sour	3325	→	bowels, intestine	3664	1	1
shift6652	servant	3997	—	shepherd	4031	2	2
shift0217	to shear	3141	→	to destroy, annihilate	2514	2	2
shift5998	to become full	2317	→	sated with food	3939	2	2
shift7233	top of the head	3406	↔	fontanelle	1334	14	14
shift0598	tree	3432	—	firewood	1294	4	4
shift4742	naked, bare	1819	→	stone loach (Barbatula barbatula)	4283	1	1
shift8229	family	1226	→	motherland	724	1	1
shift0878	cattle	914	↔	property, possessions	478	30	30
shift6634	wave	26	→	fraud, cheat	1366	1	1
shift8052	nest (n.)	1846	—	town	3418	1	1
shift5830	brain (cerebrum)	3669	→	computer	1075	1	1
shift3322	oil (food)	4528	—	resin, tar	1460	1	1
shift3639	sun	4333	—	lightning	215	1	1
shift0957	matter, affair	607	→	battle	3534	6	6
shift5519	magpie (Pica pica)	567	→	jay	1179	2	2
shift0788	wet	49	→	good	814	3	3
shift6900	name	1820	→	noun (grammar)	1887	1	1
shift5681	sack, bag	3908	→	to discharge, dismiss	2527	2	2
shift7202	to be, exist	2310	—	to be situated	2299	1	1
shift1278	bride	3687	→	whore	67	1	1
shift5655	grandchild	824	→	wolf	107	1	1
shift0832	to grow (plants)	2723	—	to shine, glitter	3145	2	2
shift3609	to move	2925	→	to go mad	2707	2	2
shift1330	to burn (tr.)	2385	→	nettle (Urtica)	1849	4	4
shift0138	to endure	2578	—	to forgive	2654	2	2
shift3463	flower	1323	→	menstruation	636	2	2
shift2114	sand	3934	→	coast	1019	1	1
shift2279	to put	3025	→	to bury	2388	3	3
shift0093	to go out	2708	→	to lose colour	2867	2	2
shift2530	to break (tr.)	2370	→	to defeat, win	2501	5	5
shift4948	to defecate	2502	→	to slander	3166	2	2
shift3540	to draw water	2550	→	to imitate	2781	4	4
shift5372	tooth	3404	—	bone	3645	4	4
shift7040	lightning	215	→	meteorite	647	1	1
shift5093	grandmother	827	→	smallpox	4126	2	2
shift3825	to sing	3157	—	fly agaric (Amanita muscaria)	1328	1	1
shift8537	throat	2186	→	location of emotions	239	1	1
shift3273	<vessel>	3742	→	fool	1336	2	2
shift3998	soul	4172	—	deceased	4400	1	1
shift8531	heart	1588	→	banana flower	3509	19	19
shift4863	tail fat (of sheep)	2114	→	hearts (in cards)	1589	1	1
shift1911	sharp	4022	→	sharpshooter	4024	1	1
shift1423	to strike, hit	3234	→	woodpecker	118	7	7
shift5620	beetle	3561	→	common starling	1062	2	2
shift4128	healthy	1585	—	happy	1555	4	4
shift7253	evil spirit	3877	→	tuberculosis	3457	1	1
shift3566	lung	272	→	red	1444	1	1
shift7701	face	1214	→	sun	4333	1	1
shift7508	wind	88	→	direction	4438	1	1
shift1745	root (of a plant)	1499	→	mountain foot	729	3	3
shift7452	expensive	3885	→	respected, venerable	1462	1	1
shift0628	cattle	914	→	bad person	3496	10	10
shift4237	younger brother	2095	—	friend	1380	2	2
shift8572	wolf	107	→	December	4401	2	2
shift2367	<animal>	1916	→	spot of reflected light	4218	14	14
shift6917	pearl	329	→	guinea fowl	859	15	15
shift5486	rooster	1497	→	crested lark	1135	1	1
shift7896	to not believe one's eyes	2942	→	to be surprised	2305	2	2
shift7675	step, pace	4257	→	stitch	4274	1	1
shift6269	to swim	3262	—	to wash	3355	1	1
shift5520	acorn	1936	→	jay	1179	1	1
shift1157	horse	1661	→	<orthopteran>	4509	6	6
shift0106	to mix, stir	2920	→	to worry, be agitated	3382	8	8
shift4009	father	1242	→	father-in-law	1244	13	13
shift3058	to be glad, happy	2275	—	to forget	2653	1	1
shift1615	truth	3454	—	payment	321	1	1
shift3757	breathing	3683	—	voice	3778	1	1
shift8418	to break (tr.)	2370	→	hybrid	1699	1	1
shift1356	to shoot	3149	—	to shine	3144	1	1
shift2833	quick	1908	→	good	814	1	1
shift2663	hedgehog (Еrinaceus)	1595	—	badger (Meles)	3501	3	3
shift7295	snow	4140	→	December	4401	1	1
shift7824	wide, broad	70	—	fat (adj.)(of a person)	1239	1	1
shift5144	elder brother	3821	→	member of criminal organisation	633	2	2
shift0092	to go out	2708	—	to cost	2466	1	1
shift3131	miracle	674	→	mirror	675	1	1
shift7066	grandmother	827	→	body of water	3641	1	1
shift3777	to touch	3307	—	to deal with	2492	0	0
shift8581	elder sister	3823	→	mischievous person	679	1	1
shift5397	to sow	3190	→	father	1242	1	1
shift2343	to pull, to draw	3018	→	to resemble, be alike	3073	2	2
shift7049	truck, lorry	3446	→	whore	67	2	2
shift7231	quick	1908	—	early	3795	1	1
shift0459	eye	3890	→	spot, pip (on playing cards or dice)	4219	9	9
shift1332	bald	3504	→	bald-coot (Fulica atra)	3506	3	3
shift2065	branch, twig	3672	—	part	306	11	11
shift6799	short (size)	4048	→	February	1252	4	4
shift1025	brain (cerebrum)	3669	—	bone marrow	3646	12	12
shift1146	brushwood	3707	—	garbage	765	2	2
shift5846	poisonous	424	→	magic	564	1	1
shift0157	tasteless	2133	→	boring	3650	2	2
shift2778	hand/arm	1550	→	power, authority	450	13	13
shift7919	ten	2144	→	October	4521	6	6
shift4066	bird	3594	—	eagle	3790	2	2
shift6974	paper	297	—	money	700	1	1
shift4782	one (unit)	4542	—	time (instance)	2201	1	1
shift3872	father	1242	→	<priest>	279	20	20
shift4542	finger-ring	1284	→	ring finger	1483	26	26
shift7973	goad	800	→	diamonds (in cards)	4429	1	1
shift3081	single-eyed	4086	→	squint-eyed	4236	1	1
shift0979	bad	3493	—	lean	178	6	6
shift1506	hour	1675	→	watch, clock	15	11	11
shift5149	to fall down	2605	→	to lie prostrate, as in reverence	2850	1	1
shift2990	many, much	584	→	long (size)	246	1	1
shift2929	dog	4458	→	rabid	1410	1	1
shift4431	umbrella	504	→	parachute	299	8	8
shift4964	sooner	4168	→	more probable	710	1	1
shift6701	eagle	3790	→	side of a coin	4072	1	1
shift6352	common quail	1058	→	buttonquail	3739	2	2
shift7748	to abolish	2209	—	to lose (an object)	2866	1	1
shift4014	father	1242	→	founder	1358	24	24
shift4962	to strike, hit	3234	—	to emotionalize	2573	0	0
shift3745	eyelid	3899	—	eyelash	3898	29	29
shift8635	baby chicken	3484	→	Pleiades	410	2	2
shift0224	strength	4301	→	army	2030	6	6
shift0356	soon	4167	→	almost	1974	6	6
shift2796	light (n.)	210	—	vision	3776	3	3
shift0854	to turn sour	3325	→	to grieve (intr.)	2720	4	4
shift6033	mouse	733	—	squirrel (Sciurus)	4237	3	3
shift6836	trunk (of a tree)	3451	—	wood, timber	114	1	1
shift2345	stone (of a fruit)	4280	→	cause, reason	917	1	1
shift3212	to sing	3157	→	to read	3042	23	23
shift3055	slow (adj.)	4120	—	lazy	171	3	3
shift8161	to pierce	2975	→	to enter	2581	1	1
shift3943	standart-bearer	4246	—	idler, loafer	1736	1	1
shift3414	naked, bare	1819	—	genitalia	777	1	1
shift7371	to bend	2338	→	to return (intr.)	3080	1	1
