NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	CERTAINTY	GLOSS_IN_SOURCE	DEFINITION	ALIAS	DOMAIN
778	desert (n.)	3687	DESERT	100	desert (n.)			Natural objects
779	destiny			100	destiny			Abstract entities
780	detailed, thorough			100	detailed, thorough			Non-physical
781	detective				detective			Human being
782	devil, satan	3917	DEVIL	100	devil, satan			Abstract entities
783	dew	1977	DEW	100	dew	moisture from the atmosphere condensed by cool bodies upon their surfaces		Natural objects
784	dew	1977	DEW	100	dew			Natural objects
785	diabetes				diabetes	any of a group of metabolic diseases whereby a person (or other animal) has high blood sugar due to an inability to produce, or inability to metabolize, sufficient quantities of the hormone insulin		N/a
786	dialect	2815	DIALECT	19	dialect	variety of a language that is characteristic of a particular area, community or social group, differing from other varieties of the same language in relatively minor ways as regards grammar, phonology, and lexicon		Abstract entities
787	dialect	2815	DIALECT	19	dialect	variety of a language that is characteristic of a particular area		Human being
788	diamond	3878	DIAMOND	19	diamond	glimmering glass-like mineral that is an allotrope of carbon in which each atom is surrounded by four others in the form of a tetrahedron; a gemstone made from this mineral		N/a
789	diamonds (in cards)			100	diamonds (in cards)	one of the four suits of playing cards, marked with the symbol ♦		Abstract entities
790	diaphragm				diaphragm	in mammals, a sheet of muscle separating the thorax from the abdomen, contracted and relaxed in respiration to draw air into and expel air from the lungs		N/a
791	dictionary				dictionary			N/a
792	different	2504	DIFFERENT	19	different	not the same, exhibiting a difference		N/a
793	difficult	584	DIFFICULT	100	difficult	not easy, requiring much effort		Evaluation
794	digit (mathematics)				digit (mathematics)	whole numbers from 0 to 9 and the Arabic numerals representing them, which are combined to represent base-ten numbers		N/a
795	dimple				dimple			N/a
796	dinner fork			100	dinner fork			Artifacts
797	dinner, evening meal	1833	DINNER (SUPPER)	15	dinner, evening meal	evening meal		N/a
798	direction	3427	DIRECTION	100	direction			Abstract entities
799	directly			100	directly			N/a
800	dirty	1230	DIRTY	100	dirty			Other physical
801	disc				disc	thin, flat, circular plate or similar object		N/a
802	disease	1986	DISEASE	100	disease			Abstract entities
803	disgrace			100	disgrace			Abstract entities
804	disgusting	2507	DISGUSTING	100	disgusting			N/a
805	dishonest				dishonest			N/a
806	disorder, mess	1083	MESS	100	disorder, mess			Abstract entities
807	dispute, discussion	3956	DISPUTE	15	dispute, discussion			N/a
808	dissimilar, distinct				dissimilar, distinct	not the same, exhibiting a difference		N/a
809	dissolute				dissolute	unrestrained by morality		N/a
810	distance	2978	DISTANCE	100	distance			Space
811	distilled alcohol				distilled alcohol	alcoholic drink produced by distillation of grains, fruits, vegetables, or sugar, that have already gone through alcoholic fermentation		Artifacts
812	distressing event				distressing event			N/a
813	diver				diver	a person who stays underwater for long periods by having air supplied from the surface or by carrying a supply of compressed air (Merriam-Webster)		N/a
814	do not see				do not see			N/a
815	dock-tailed, tailless			100	dock-tailed, tailless			Other physical
816	doctor, physician	597	PHYSICIAN	15	doctor, physician	medical doctor trained in human medicine		Human being
817	document (n.)			100	document (n.)			Artifacts
818	dog	2009	DOG	100	dog	mammal, Canis familiaris or Canis lupus familiaris, that has been domesticated for thousands of years, of highly variable appearance due to human breeding		Animals
819	dog-rose	527	DOG-ROSE	100	dog-rose	European wild rose, Rosa canina, having fragrant white or pink flowers and stems with sharp spines		Plants
820	doll	1659	DOLL	100	doll	toy in the form of a human		Artifacts
821	dolphin	1479	DOLPHIN	19	dolphin	aquatic mammal in one of several families of order Cetacea, famed for its intelligence and occasional willingness to approach humans		N/a
822	domestic (animal)			100	domestic (animal)			Non-physical
823	donkey	1862	DONKEY	100	donkey	domestic animal, Equus asinus asinus, similar to a horse		Animals
824	donut				donut			N/a
825	doomsday			100	doomsday	day when God is expected to judge the world; end times		Time
826	door	1567	DOOR	100	door	portal of entry into a building, room, or vehicle, consisting of a rigid plane movable on a hinge		Artifacts
827	door bolt				door bolt	bar of wood or metal dropped in horizontal hooks on a door and adjoining wall or between the two sides of a double door, to prevent the door(s) from being forced open		Evaluation
828	doorpost	80	DOORPOST	19	doorpost	either of the upright posts on either side of a door, which together support a lintel		Artifacts
829	dormouse				dormouse	any of several species of small, mostly European rodents of the family Gliridae; also called Myoxidae or Muscardinidae by some taxonomists		N/a
830	dough	273	DOUGH	100	dough	thick, malleable substance made by mixing flour with other ingredients such as water, eggs, and/or butter, that is made into a particular form and then baked		Artifacts
831	downriver			100	downriver			N/a
832	downstream				downstream			N/a
833	downy birch				downy birch	Betula pubescens, also moor birch, white birch, European white birch or hairy birch, a species of deciduous tree, native and abundant throughout northern Europe and northern Asia, growing farther north than any other broadleaf tree. It is closely related to, and often confused with, the silver birch (B. pendula), but grows in wetter places with heavier soils and poorer drainage		N/a
834	dowry	3168	DOWRY	19	dowry	payment, such as property or money, paid by the bride&#39;s family to the groom or his family at the time of marriage		N/a
835	dragon	2038	DRAGON	100	dragon			Animals
836	dragonfly	2352	DRAGONFLY	100	dragonfly			Animals
837	drama (theatre)				drama (theatre)			N/a
838	draught animal			100	draught animal	strong working animal used to draw a load like a cart, a plough etc., as opposed to a mount		Animals
839	dream (during sleep)	2374	DREAM	100	dream (during sleep)	imaginary events seen in the mind while sleeping		Abstract entities
840	dress (feminine)	474	DRESS	11	dress (feminine)	an item of clothing (usually worn by a woman or young girl) which both covers the upper part of the body and includes a skirt below the waist		N/a
841	drinking vessel	476	CUP	100	drinking vessel			N/a
842	driver (of a motorized vehicle)				driver (of a motorized vehicle)	person who drives a motorized vehicle such as a car or a bus		N/a
843	driver's seat				driver&#39;s seat			N/a
844	drone				drone	male bee, which does not work but can fertilize the queen		Animals
845	drop (n.)	3748	DROP (OF A LIQUID)	100	drop (n.)			Natural objects
846	drug, medicine	1372	MEDICINE	100	drug, medicine	substance used to treat an illness, relieve a symptom, or modify a chemical process in the body for a specific purpose		Artifacts
847	drum	908	DRUM	19	drum	The drum is a member of the percussion group of musical instruments. In the Hornbostel-Sachs classification system, it is a membranophone. Drums consist of at least one membrane, called a drumhead or drum skin, that is stretched over a shell and struck, either directly with the player&#39;s hands, or with a percussion mallet, to produce sound. There is usually a resonant head on the underside of the drum.   (Wiki)		N/a
848	drunk	1463	DRUNK	100	drunk	intoxicated as a result of excessive alcohol consumption, usually by drinking alcoholic beverages		Other physical
849	drunkard			100	drunkard			Human being
850	dry	1398	DRY	100	dry			Other physical
851	dry	1398	DRY	100	dry			Tactile quality
852	dry (wine)	1398	DRY	11	dry (wine)	(wine and other alcoholic beverages) low in sugar; lacking sugar; unsweetened		N/a
853	dry sandy soil				dry sandy soil			N/a
854	dry season	452	DRY SEASON	19	dry season	yearly period of low rainfall in the tropics		Non-physical
855	duck	1360	DUCK	100	duck			N/a
856	duckweed			100	duckweed	reduced floating aquatic plants in the subfamily Lemnoideae of the family Araceae		N/a
857	duffer				duffer	incompetent or clumsy person.		N/a
858	dump				dump	place where waste or garbage		N/a
859	dumpling				dumpling	food composed of a dough wrapper around a filling		N/a
860	dung	2057	DUNG (ANIMAL FAECES)	100	dung			Physiology
861	dung-beetle				dung-beetle	Any of the beetle of the family Scarabaeidae (scarab beetles), especially of the subfamilies Scarabaeinae and Aphodiinae, noted for rolling dung into balls for use as food or as brooding chambers		N/a
862	dust	2	DUST	100	dust			Natural objects
863	dust	2	DUST	100	dust			Natural objects
864	duty, responsibility	3471	OBLIGATION (DUTY)	15	duty, responsibility			N/a
865	dwarf				dwarf			N/a
866	dyer's greenweed (Genista tinctoria)				dyer&#39;s greenweed (Genista tinctoria)	leguminous plant Genista tinctoria, native to Europe		N/a
867	dysentery				dysentery	type of gastroenteritis that results in bloody diarrhea		N/a
868	ethnic group			100	&lt;ethnic group&gt;			Abstract entities
869	exclamation of surprise, pain or sorrow	1783	PAIN	15	&lt;exclamation of surprise, pain or sorrow&gt;			N/a
870	expletive				&lt;expletive&gt;			N/a
871	expression of anger				&lt;expression of anger&gt;			N/a
872	eagle	1905	EAGLE	100	eagle			Animals
873	eagle-owl (Bubo bubo)				eagle-owl (Bubo bubo)			N/a
874	ear	1247	EAR	100	ear	external part of the organ of hearing, the auricle		Body parts
875	ear, spike (of a grain plant)	1249	SPIKE	100	ear, spike (of a grain plant)	fruiting body of a grain plant		Plants
876	earlier				earlier			N/a
877	early	672	EARLY	100	early			Time
878	earnest, serious				earnest, serious	None		Evaluation
879	earring	770	EARRING	100	earring			Artifacts
880	earth			100	earth			Natural objects
881	earth oven				earth oven	cooking pit, a pit in the ground used to trap heat and bake, smoke, or steam food		N/a
882	earth, soil	1228	EARTH (SOIL)	100	earth, soil			Natural objects
883	earthworm	2350	EARTHWORM	19	earthworm	worm of the family Lumbricidae, or, more generally, of the suborder Lumbricina		N/a
884	East	1877	EAST	17	East			Space
885	East	1877	EAST	17	East	None		Space
886	Easter				Easter			N/a
887	eater			100	eater			Human being
888	eaves				eaves	underside of a roof that extends beyond the external walls of a building		N/a
889	echo	2816	ECHO	19	echo	reflected sound that is heard again by its initial observer		N/a
890	eclipse	2285	ECLIPSE	100	eclipse	alignment whereby a planetary object (for example, the Moon) comes between the Sun and another planetary object (for example, the Earth), resulting in a shadow being cast by the middle planetary object onto the other planetary object		Natural objects
891	edge (of an instrument)	863	EDGE	11	edge (of an instrument)	thin cutting side of the blade of an instrument		N/a
892	edge, border	863	EDGE	15	edge, border	None		Space
893	eel (Anguilla anguilla)	1013	FRESHWATER EEL	100	eel (Anguilla anguilla)			Animals
894	effeminate			100	effeminate			N/a
895	egg	744	EGG	100	egg			Natural objects
896	eggplant (Solanum melongena)	1146	AUBERGINE	11	eggplant (Solanum melongena)			N/a
897	Egyptian vulture				Egyptian vulture	bird Neophron percnopterus		Physical processes
898	eight	1705	EIGHT	19	eight	numerical value equal to 8; the number occurring after seven and before nine		N/a
899	elbow	981	ELBOW	100	elbow			Body parts
900	elbow piece (tube)				elbow piece (tube)			N/a
901	elder			100	elder			Time
902	elder (Sambucus)			100	elder (Sambucus)			Plants
903	elder brother	1759	OLDER BROTHER	100	elder brother			N/a
904	elder brother's wife				elder brother&#39;s wife	elder sister-in-law		N/a
905	elder sister	1758	OLDER SISTER	100	elder sister			N/a
906	electric lamp			100	electric lamp			Artifacts
907	electrical fan				electrical fan	electrical or mechanical device for moving air, used for cooling people, machinery, etc.		Artifacts
908	electricity	59	ELECTRICITY	100	electricity			Natural objects
909	elephant	1290	ELEPHANT	100	elephant			Animals
910	eleven	1706	ELEVEN	19	eleven	cardinal number occurring after ten and before twelve. Represented as 11 in Arabic digits		N/a
911	elm	3317	ELM	100	elm			Plants
912	elongated object				elongated object			Space
913	ember				ember	glowing piece of coal or wood; a hot coal		N/a
914	embroidery on the hem				embroidery on the hem			N/a
915	eminent man			100	eminent man			Human being
916	emotionless			100	emotionless			Non-physical
917	empty	1624	EMPTY	100	empty			Other physical
918	Emu (Dromaius novaehollandiae)	2817	EMU	11	Emu (Dromaius novaehollandiae)			N/a
919	end	742	END (OF SPACE)	100	end			Space
920	ending (in grammar)			100	ending (in grammar)			Abstract entities
921	endless, infinite				endless, infinite			N/a
922	enemy	1358	ENEMY	100	enemy			Human being
923	engaged, bridegroom	3282	GROOM	15	engaged, bridegroom			N/a
924	Englishman			100	Englishman			Human being
925	enough	1881	ENOUGH	100	enough			Abstract relations
926	entada (plant)				entada (plant)	genus of flowering plants in the family Fabaceae, in the mimosoid clade of the subfamily Caesalpinioideae		N/a
927	enthusiastic person				enthusiastic person			N/a
928	entire	2277	WHOLE	100	entire			Non-physical
929	entirely			100	entirely			Abstract relations
930	envious				envious			Emotions
931	epidemic			100	epidemic			Physiology
932	equal	1570	EQUAL	100	equal			Non-physical
933	ermine; stoat (Mustela erminea)			100	ermine; stoat (Mustela erminea)			Animals
934	error	1293	MISTAKE	100	error			Abstract entities
935	erysipelas				erysipelas			N/a
936	essay (in school)				essay (in school)			N/a
937	essence			100	essence			Abstract entities
938	eternal			100	eternal	lasting forever, or for an indefinitely long time		N/a
939	eternity				eternity			N/a
940	ethnic group			100	ethnic group			N/a
941	eunuch			100	eunuch			Human being
942	Eurasian hoopoe				Eurasian hoopoe	bird Upupa epops		Plants
943	Eurasian nuthatch				Eurasian nuthatch	bird Sitta europaea		Other physical
944	Eurasian scops owl				Eurasian scops owl	bird Otus scops		N/a
945	Eurasian skylark				Eurasian skylark	bird Alauda arvensis		N/a
946	Eurasian woodcock				Eurasian woodcock	Scolopax rusticola, a medium-small wading bird found in temperate and subarctic Eurasia		N/a
947	Eurasian wryneck				Eurasian wryneck	bird Jynx torquilla		Natural objects
948	Europe				Europe			N/a
949	European blueberry				European blueberry	plant Vaccinium myrtillus		N/a
950	european kingfisher (Alcedo atthis)			100	european kingfisher (Alcedo atthis)			Animals
951	European robin				European robin	bird Erithacus rubecula		N/a
952	European whitefish				European whitefish	freshwater fish Coregonus lavaretus		N/a
953	evening	1629	EVENING	100	evening			Time
954	event, occurrence			100	event, occurrence			Abstract entities
955	evident				evident			Non-physical
956	evil (adj.)	45	EVIL	100	evil (adj.)			Evaluation
957	evil eye			100	evil eye			Abstract entities
958	evil spirit			100	evil spirit			Abstract entities
959	evil spirit			100	evil spirit			Human being
960	exact	1466	EXACT	100	exact			Abstract entities
961	exactly			100	exactly			N/a
962	excellent				excellent	of the highest quality		N/a
963	exceptional				exceptional			N/a
964	excessive, extra				excessive, extra	more than normal, more than needed		N/a
965	exchange	2509	EXCHANGE	100	exchange			Abstract entities
966	executioner				executioner	official person who carries out the capital punishment of a criminal		N/a
967	expensive	1426	EXPENSIVE	100	expensive			Non-physical
968	experience of great suffering				experience of great suffering			N/a
969	experienced	2218	EXPERIENCED	19	experienced			N/a
970	extinct			100	extinct			Light and Colour
971	extortioner			100	extortioner			Human being
972	eye	1248	EYE	100	eye			Body parts
973	eye (of potato)	1248	EYE	11	eye (of potato)	reproductive bud in a potato		N/a
974	eye of a needle				eye of a needle			N/a
975	eye of typhoon			100	eye of typhoon	relatively calm and clear centre of a hurricane or other cyclonic storm		Natural objects
976	eye socket				eye socket			N/a
977	eyeball	3807	EYEBALL	100	eyeball			N/a
978	eyebright (Euphrasia officinalis)			100	eyebright (Euphrasia officinalis)			Plants
979	eyebrow	1173	EYEBROW	100	eyebrow			Body parts
980	eyelash	1540	EYELASH	100	eyelash			Body parts
981	eyelid	17	EYELID	100	eyelid			Body parts
982	(fishing) sinker				(fishing) sinker	weight used in fishing to cause the line or net to sink		N/a
983	female animal	3923	FEMALE ANIMAL	19	&lt;female animal&gt;			N/a
984	fish	227	FISH	100	&lt;fish&gt;			Animals
985	foot-wear	1381	SHOE	100	&lt;foot-wear&gt;			Artifacts
986	foreign country				&lt;foreign country&gt;	A variable for any country name		N/a
987	foreigner				&lt;foreigner&gt;			Human being
988	fruit	1507	FRUIT	100	&lt;fruit&gt;			Plants
989	furniture				&lt;furniture&gt;			Artifacts
990	fable				fable			N/a
991	face	1560	FACE	100	face			Body parts
992	faeces	675	FAECES (EXCREMENT)	100	faeces			Natural objects
993	fairy tale	2937	FAIRY TALE	100	fairy tale			Abstract entities
994	faith				faith			N/a
995	falcon	3258	FALCON	100	falcon			Animals
996	fallen woman				fallen woman			N/a
997	fallow				fallow	ground ploughed and harrowed but left unseeded for one year		N/a
998	fallow deer				fallow deer	mammal (Dama dama) belonging to the family Cervidae		N/a
999	false, wrong			100	false, wrong			Non-physical
1000	falsified, fake				falsified, fake	forged, phony		N/a
1001	fame	865	FAME	100	fame			Abstract entities
1002	family	194	FAMILY	100	family			Human being
1003	family	194	FAMILY	100	family			Human being
1004	famous				famous	well known		N/a
1005	fan (hand-held)	1971	FAN (OBJECT)	11	fan (hand-held)	hand-held device consisting of concertinaed material, or slats of material, gathered together at one end, that may be opened out into the shape of a sector of a circle and waved back and forth in order to move air towards oneself and cool oneself		Plants
1006	fan (sport)	1971	FAN (OBJECT)	11	fan (sport)	someone who is a supporter of a certain sports team or sportsperson		N/a
1007	fan palm (Pritchardia pacifica)				fan palm (Pritchardia pacifica)			N/a
1008	fanatic				fanatic			N/a
1009	fang			100	fang			Body parts
1010	far away	1406	FAR	100	far away			Space
1011	farm laborer				farm laborer			N/a
1012	farmer	979	FARMER	100	farmer			Human being
1013	fascicle (cluster of flowers or berries)			100	fascicle (cluster of flowers or berries)			N/a
1014	fast (n.)			100	fast (n.)			Abstract entities
1015	fat (adj.) (of food)	323	FAT (ORGANIC SUBSTANCE)	11	fat (adj.) (of food)			N/a
1016	fat (adj.)(of a person)	1279	FAT (OBESE)	100	fat (adj.)(of a person)			Other physical
1017	fat (n.)	323	FAT (ORGANIC SUBSTANCE)	20	fat (n.)	subcutaneous layer of fat tissue		N/a
1018	Fat Tuesday				Fat Tuesday	the day before the beginning of Lent on Ash Wednesday		N/a
1019	father	1217	FATHER	100	father			Human being
1020	father's brother	1985	PATERNAL UNCLE (FATHER'S BROTHER)	19	father&#39;s brother			N/a
1021	father-in-law	1055	FATHER-IN-LAW	100	father-in-law			N/a
1022	fatless			100	fatless			Other physical
1023	favourite				favourite			Evaluation
1024	fearful, dreadful	528	DREADFUL	100	fearful, dreadful			Non-physical
1025	feast			100	feast			Space
1026	feast (at a table)	131	FESTIVAL	11	feast (at a table)	very large meal, often of a ceremonial nature		N/a
1027	feather	1201	FEATHER	100	feather			Body parts
1028	feathering			100	feathering			Body parts
1029	February	2037	FEBRUARY	19	February			N/a
1030	fellow traveller			100	fellow traveller			Human being
1031	female ascetic				female ascetic			N/a
1032	female breast	1402	BREAST	19	female breast	None		N/a
1033	female calf			100	female calf			Animals
1034	female maral				female maral			N/a
1035	female servant, maid			100	female servant, maid			Human being
1036	fence	1690	FENCE	100	fence			N/a
1037	fenugreek				fenugreek	leguminous plant, Trigonella foenum-graecum, eaten as a vegetable and with seeds used as a spice		N/a
1038	ferment, leaven			100	ferment, leaven			Natural objects
1039	fern	3802	FERN	19	fern	any of a group of some twenty thousand species of vascular plants classified in the division Pteridophyta that lack seeds and reproduce by shedding spores to initiate an alternation of generations		N/a
1040	fertile (soil)			100	fertile (soil)			Other physical
1041	fetlock				fetlock	joint of the horse&#39;s leg below the knee or hock and above the hoof		N/a
1042	fetters				fetters			N/a
1043	fetus				fetus	human embryo		N/a
1044	fever	1534	FEVER	100	fever			Abstract entities
1045	few, little	1242	FEW	19	few, little	not many, small number of		N/a
1046	fibres prepared for spinning				fibres prepared for spinning			N/a
1047	fibula (anat.)			100	fibula (anat.)			Body parts
1048	field	212	FIELD	100	field			Natural objects
1049	field bindweed				field bindweed	plant Convolvulus arvensis		N/a
1050	field sowthistle				field sowthistle	plant Sonchus arvensis		N/a
1051	fieldfare				fieldfare	bird Turdus pilaris		Other physical
1052	fifth				fifth	ordinal form of the number five		N/a
1053	fig	322	FIG	19	fig			N/a
1054	fighter plane				fighter plane			N/a
1055	figuratively			100	figuratively			N/a
1056	figure, stature	1945	IDOL	15	figure, stature			N/a
1057	film, movie	216	MOVIE	15	film, movie	recorded sequence of images displayed on a screen at a rate sufficiently fast to create the appearance of motion		N/a
1058	fin	213	FIN	100	fin			Body parts
1059	fine (fee as a punishment)	218	FINE (PENALTY)	11	fine (fee as a punishment)			N/a
1060	fine, powder-like	2157	FINE OR THIN	100	fine, powder-like			Size
1061	finger-ring	1374	RING	100	finger-ring			Artifacts
1062	finger/toe	2120	FINGER OR TOE	100	finger/toe			Body parts
1063	fire	221	FIRE	100	fire			Natural objects
1064	fire (accident)	221	FIRE	11	fire (accident)	the occurrence, often accidental, of fire in a certain place, causing damage and danger		N/a
1065	fire striker				fire striker	a piece of carbon steel from which sparks are struck by the sharp edge of flint, chert or similar rock		N/a
1066	fire-arms			100	fire-arms			Artifacts
1067	firearm				firearm	personal weapon that uses explosive powder to propel a projectile often made of lead		N/a
1068	firebug, Pyrrhocoris apterus				firebug, Pyrrhocoris apterus			N/a
1069	firefly	206	FIREFLY	100	firefly			Animals
1070	fireplace	185	FIREPLACE	100	fireplace			Artifacts
1071	firewood	10	FIREWOOD	100	firewood			Natural objects
1072	fireworks				fireworks	device using gunpowder and other chemicals which, when lit, emits a combination of coloured flames, sparks, whistles or bangs, and sometimes made to rocket high into the sky before exploding, used for entertainment or celebration		N/a
1073	firm, solid	3003	SOLID	100	firm, solid			Other physical
1074	first	728	FIRST	100	first			Quantity
1075	first time				first time			N/a
1076	firstborn				firstborn	first child to be born to a parent or family		N/a
1077	fish	227	FISH	100	fish			Animals
1078	fishbone	3799	FISHBONE	19	fishbone	bone from a fish		N/a
1079	fisherman	1858	FISHERMAN	100	fisherman			N/a
1080	fishing float (bobber)			100	fishing float (bobber)			N/a
1081	fist	1473	FIST	19	fist			N/a
1082	five	493	FIVE	100	five			Abstract entities
1083	five-finger (Potentilla)			100	five-finger (Potentilla)			Plants
1084	flag	2623	FLAG	19	flag	piece of cloth, often decorated with an emblem, used as a visual signal or symbol		N/a
1085	flagellate				flagellate	A flagellate is a cell or organism with one or more whip-like appendages called flagella.		N/a
1086	flagellum				flagellum	hairlike appendage that protrudes from certain plant and animal sperm cells, and from a wide range of microorganisms to provide motility.		N/a
1087	flank (body part)			100	flank (body part)			Body parts
1088	flank (military)	529	FLANK	100	flank (military)			Natural objects
1089	flat (adj)	1633	FLAT	100	flat (adj)			Other physical
1090	flat cake				flat cake			N/a
1091	flatbread				flatbread			N/a
1092	flattery				flattery	excessive praise or approval, which is often insincere and sometimes contrived to win favour		N/a
1093	flatus				flatus			N/a
1094	flax	3315	FLAX	19	flax	common flax (Linum usitatissimum); the processed stems of this plant and the fiber obtained from them		N/a
1095	flea	232	FLEA	100	flea			Animals
1096	flexible	1691	FLEXIBLE	100	flexible	capable of being flexed or bent without breaking; able to be turned or twisted without breaking		Other physical
1097	flint				flint	hard, fine-grained quartz that fractures conchoidally and generates sparks when struck against a material such as steel, because tiny chips of the steel are heated to incandescence and burn in air		N/a
1098	flood, overflow (of the river)	613	HIGH TIDE	15	flood, overflow (of the river)			N/a
1099	floor (vs. ceiling)	1632	FLOOR	100	floor (vs. ceiling)			Artifacts
1100	flower	239	FLOWER	100	flower			Plants
1101	flower cup				flower cup			N/a
1102	fluff, down (of feather)	1326	DOWN	11	fluff, down (of feather)			N/a
1103	flute	777	FLUTE	100	flute			N/a
1104	fly (n.)	1504	FLY (INSECT)	100	fly (n.)			Animals
1105	fly agaric (Amanita muscaria)			100	fly agaric (Amanita muscaria)			Plants
1106	flying fish				flying fish	tropical marine fish of the family Exocoetidae, having enlarged winglike pectoral fins enabling it to escape predators by taking short gliding flights through the air		N/a
1107	foal	1647	FOAL	19	foal	young horse, especially just after birth or less than a year old		N/a
1108	foam	1768	FOAM	100	foam			Natural objects
1109	fodder	3046	FODDER	19	fodder			Artifacts
1110	follower (of guru, leader)				follower (of guru, leader)		&lt;term of address to a woman_&gt;,disciple	N/a
1111	fontanelle				fontanelle	soft membraneous spot on the head of a baby due to incomplete fusion of the cranial bones		N/a
1112	food	256	FOOD	100	food			Natural objects
1113	fool	1438	FOOL	100	fool			Human being
1114	foot	1301	FOOT	100	foot			Body parts
1115	foot	1301	FOOT	100	foot			Body parts
1116	foot-wear	1381	SHOE	100	foot-wear			N/a
1117	foot/leg	2098	FOOT OR LEG	100	foot/leg			Body parts
1118	football fan				football fan			N/a
1119	footprint, track	318	FOOTPRINT	100	footprint, track			Natural objects
1120	for removal 1				for removal 1	None		N/a
1121	forbidden				forbidden			N/a
1122	ford	2818	FORD (CROSSING)	100	ford			Natural objects
1123	forearm	446	LOWER ARM	19	forearm	part of the arm between the wrist and the elbow		N/a
1124	forehead	123	FOREHEAD	100	forehead			Body parts
1125	foreign	109	FOREIGN	100	foreign			Non-physical
1126	forelock			100	forelock			Body parts
1127	foreskin				foreskin	retractable fold of skin which covers and protects the head of the penis in humans and some other animals		Physical effect
1128	forest	420	FOREST	100	forest			Natural objects
1129	forget-me-not (flower)			100	forget-me-not (flower)			Plants
1130	fortress	1938	FORTRESS	100	fortress			Artifacts
1131	forty	1716	FORTY	19	forty	40		N/a
1132	foster-father				foster-father			N/a
1133	foundation ditch				foundation ditch			N/a
1134	foundation, basement			100	foundation, basement			N/a
1135	founder			100	founder			N/a
1136	fourth				fourth			N/a
1137	fox (Vulpes vulpes)	1312	FOX	100	fox (Vulpes vulpes)			Animals
1138	foxglove (Digitalis L.)			100	foxglove (Digitalis L.)			Plants
1139	fragile				fragile			N/a
1140	francolin				francolin	bird Francolinus		N/a
1141	frank			100	frank			Non-physical
1142	frankincense				frankincense			N/a
1143	fraud, cheat	3055	SWINDLE	15	fraud, cheat			N/a
1144	fraudster				fraudster			N/a
1145	fraught with consequences				fraught with consequences			Evaluation
1146	freak, oddity			100	freak, oddity			Abstract entities
1147	freckle	530	FRECKLE	100	freckle			Body parts
1148	free	2316	FREE	100	free			Non-physical
1149	free of charge	130	GRATIS (OF CHARGE)	100	free of charge			Non-physical
1150	freedom			100	freedom			N/a
1151	Freemason				Freemason			N/a
1152	frequent			100	frequent			Time
1153	fresh	243	FRESH	100	fresh			Other physical
1154	fresh (of water)	2195	FRESH (OF WATER)	100	fresh (of water)			Other physical
1155	Friday	1692	FRIDAY	100	Friday			Time
1156	fried eggs			100	fried eggs			Artifacts
1157	friend	1325	FRIEND	100	friend			Human being
1158	friendly, amicable			100	friendly, amicable			Evaluation
1159	frigidity				frigidity			N/a
1160	frivolous			100	frivolous			Non-physical
1161	frog	503	FROG	100	frog			Animals
1162	from land to shore				from land to shore			N/a
1163	from the top to the bottom of the mountain				from the top to the bottom of the mountain			N/a
1164	front (during the war)			100	front (during the war)			Abstract entities
1165	front leg				front leg	forelimb of quadruped animals		N/a
1166	front part	2194	FRONT (PART)	100	front part			Space
1167	front part of foot				front part of foot			N/a
1168	frost	2034	FROST	100	frost			Natural objects
1169	frozen			100	frozen			Other physical
1170	fruit	1507	FRUIT	100	fruit			Plants
1171	fruit pulp			100	fruit pulp			Natural objects
1172	fuel				fuel	substance consumed to provide energy through combustion, or through chemical or nuclear reaction		N/a
1173	full	1429	FULL	100	full			Non-physical
1174	full age				full age	time of life when a person is considered an adult		N/a
1175	full stop			100	full stop			Artifacts
1176	fun, gaiety			100	fun, gaiety			Abstract entities
1177	funnel	2602	FUNNEL	100	funnel			N/a
1178	funny			100	funny			Non-physical
1179	furious			100	furious			Non-physical
1180	furnace			100	furnace			Artifacts
1181	further				further	to, at or over a greater distance in space, time or other extent		N/a
1182	furuncle				furuncle	boil or infected, inflamed, pus-filled sore		N/a
1183	future	2427	FUTURE	19	future			N/a
1184	(gun)powder	1798	GUNPOWDER	100	(gun)powder			Artifacts
1185	game	2467	GAME	19	&lt;game&gt;	names of different games		N/a
1186	God	1944	GOD	19	&lt;God&gt;	None		N/a
1187	going, walking	695	GO	15	&lt;going, walking&gt;			Space
1188	gall bladder	3372	GALL BLADDER	19	gall bladder	pear-shaped organ that stores bile from the liver, until the body needs it for the digestion and absorption of fats in the duodenum		N/a
1189	galloon				galloon	metallic braid used for trimming clothing and uniforms		N/a
1190	game	2467	GAME	19	game			N/a
1191	garbage	909	GARBAGE	100	garbage			Natural objects
1192	garden	586	GARDEN	19	garden	outdoor area containing one or more types of plants, usually plants grown for food or ornamental purposes		N/a
1193	garden bed				garden bed	small mound of dug up soil in a vegetable garden, flower garden, etc.		N/a
1194	gardener				gardener	one who grows plants or cultivates a garden		N/a
1195	garlic (Allium sativum)	2368	GARLIC	100	garlic (Allium sativum)	plant, Allium sativum, related to the onion, having a pungent bulb much used in cooking		Plants
1196	garlic-scented agaric				garlic-scented agaric	mushroom Mycetinis scorodonius (syn. Marasmius scorodonius), having a beige cap of up to 3 cm and a tough slender stipe		Plants
1197	gas				gas			N/a
1198	gate	2940	GATE	100	gate			Artifacts
1199	gay			100	gay			Human being
1200	Gemini (constellation)				Gemini (constellation)	one of the constellations of the zodiac, lies between Taurus and Cancer		Non-physical
